animal_id,day,trial_in_day,choice,state_win,state_random,state_go
170614cage3 2A,1,12,1,0.8342251598638003,0.1554923591901496,0.010282480946050072
170614cage3 2A,1,13,1,0.7055175827631772,0.24170110367612377,0.05278131356069909
170614cage3 2A,1,14,1,0.7105445359887897,0.24164399256629235,0.04781147144491784
170614cage3 2A,1,15,1,0.7053269323502348,0.241902803144382,0.05277026450538314
170614cage3 2A,1,16,1,0.8090448862399041,0.18199684709045297,0.008958266669642915
170614cage3 2A,1,17,0,0.03128749356918752,0.20324768021114345,0.7654648262196689
170614cage3 2A,1,18,1,0.8324752914209962,0.15673144856306526,0.010793260015938676
170614cage3 2A,1,19,1,0.7542559259811008,0.22555623740225964,0.02018783661663958
170614cage3 2A,1,20,0,0.10843838059772179,0.4615199545098453,0.4300416648924329
170614cage3 2A,1,21,0,0.11117923670765982,0.3937318083911995,0.49508895490114074
170614cage3 2A,1,22,1,0.7814654975628306,0.19891428633265557,0.01962021610451381
170614cage3 2A,1,23,1,0.7017370496127743,0.2425216901736792,0.055741260213546535
170614cage3 2A,1,24,1,0.8093410651762403,0.18173274010551546,0.008926194718244343
170614cage3 2A,1,25,0,0.03132655161519398,0.2031325471546572,0.7655409012301488
170614cage3 2A,1,26,1,0.8332227938793625,0.15549260906448437,0.01128459705615322
170614cage3 2A,1,27,1,0.8106264280017659,0.1799562702973952,0.00941730170083903
170614cage3 2A,1,28,0,0.029298093981107227,0.19054604563980157,0.7801558603790912
170614cage3 2A,1,29,1,0.8831878376261842,0.1146575311942317,0.002154631179584103
170614cage3 2A,1,30,0,0.04274567563633387,0.23673357906756942,0.7205207452960968
170614cage3 2A,2,1,0,0.6006634242700893,0.23650286814048208,0.16283370758942853
170614cage3 2A,2,2,0,0.059825431685433896,0.2649356223519962,0.6752389459625698
170614cage3 2A,2,3,1,0.8169139516530003,0.16966633049197596,0.013419717855023707
170614cage3 2A,2,4,1,0.7015881704784724,0.24129951051894719,0.05711231900258046
170614cage3 2A,2,5,1,0.8122147901815899,0.1792820286405193,0.008503181177890744
170614cage3 2A,2,6,0,0.028964071249181003,0.18873952756225548,0.7822964011885635
170614cage3 2A,2,7,1,0.8893926022679001,0.10883107687918947,0.0017763208529104864
170614cage3 2A,2,8,0,0.028970011381525475,0.18856663453482117,0.7824633540836534
170614cage3 2A,2,9,1,0.8379941674798705,0.1522841850609352,0.009721647459194347
170614cage3 2A,2,10,1,0.701497063898029,0.24064259517905015,0.05786034092292083
170614cage3 2A,2,11,1,0.812320577193083,0.17918026982127241,0.00849915298564457
170614cage3 2A,2,12,0,0.028962148545567962,0.18872274852536794,0.7823151029290641
170614cage3 2A,2,13,1,0.8893949930821908,0.10882877469154538,0.0017762322262637686
170614cage3 2A,2,14,0,0.02897026634400105,0.18856890583128794,0.782460827824711
170614cage3 2A,2,15,1,0.8379820073198765,0.15229585913725785,0.009722133542865607
170614cage3 2A,2,16,1,0.7014996845799771,0.24075800174359874,0.05774231367642411
170614cage3 2A,2,17,1,0.809627583784346,0.1814574971604083,0.008914919055245782
170614cage3 2A,2,18,0,0.031320208821599575,0.20308715358964505,0.7655926375887554
170614cage3 2A,2,19,1,0.8332143732858893,0.15551283294139773,0.011272793772712987
170614cage3 2A,2,20,1,0.8094551539616357,0.18094171812804294,0.009603127910321427
170614cage3 2A,2,21,0,0.030070182084543453,0.1969198917179982,0.7730099261974583
170614cage3 2A,2,22,1,0.855958357302945,0.14019818850397886,0.0038434541930760656
170614cage3 2A,2,23,0,0.10655199332790324,0.4487362750940681,0.4447117315780286
170614cage3 2A,2,24,0,0.10991148511145402,0.38139661896810734,0.5086918959204386
170614cage3 2A,2,25,1,0.8521845232345258,0.14424885078047595,0.003566625984998377
170614cage3 2A,2,26,0,0.029743843663218555,0.19489401871079567,0.7753621376259858
170614cage3 2A,2,27,1,0.8361826973422859,0.15383477299197412,0.009982529665739953
170614cage3 2A,2,28,1,0.7058092171108566,0.24148116010968562,0.05270962277945779
170614cage3 2A,2,29,1,0.7083342346853725,0.24180287624760688,0.049862889067020605
170614cage3 2A,2,30,1,0.7498165640383101,0.218296114096319,0.031887321865370875
170614cage3 2A,3,1,1,0.979321779824044,0.01997857655731997,0.0006996436186360161
170614cage3 2A,3,2,0,0.025635872636861373,0.1615204401811862,0.8128436871819524
170614cage3 2A,3,3,1,0.8952353330230615,0.10323104847250157,0.0015336185044370451
170614cage3 2A,3,4,0,0.026797936987147854,0.1746201157092613,0.7985819473035908
170614cage3 2A,3,5,1,0.8923722575273124,0.10598008578248361,0.0016476566902038985
170614cage3 2A,3,6,0,0.02774680148418957,0.18247407481423875,0.7897791237015717
170614cage3 2A,3,7,1,0.8589079736692405,0.13744700761453735,0.0036450187162221184
170614cage3 2A,3,8,0,0.10647872161256625,0.4481951827288861,0.4453260956585477
170614cage3 2A,3,9,0,0.11001414833543804,0.3815251694313374,0.5084606822332246
170614cage3 2A,3,10,1,0.8521680197438471,0.14426476321541698,0.0035672170407358714
170614cage3 2A,3,11,0,0.029730063926491784,0.19480497239514014,0.7754649636783681
170614cage3 2A,3,12,1,0.8365639997950796,0.1535073122348089,0.009928687970111453
170614cage3 2A,3,13,1,0.7014963464970487,0.24080531254044066,0.05769834096251064
170614cage3 2A,3,14,1,0.8097337742938532,0.1813713148304827,0.008894910875664174
170614cage3 2A,3,15,0,0.031153561193810023,0.20253875465004453,0.7663076841561455
170614cage3 2A,3,16,1,0.8347219122475756,0.15506711818789518,0.010210969564529306
170614cage3 2A,3,17,1,0.7014956783168916,0.24087080767646005,0.05763351400664828
170614cage3 2A,3,18,1,0.8097064560864319,0.18139560754796155,0.008897936365606525
170614cage3 2A,3,19,0,0.031168322890444054,0.20263611419010233,0.7661955629194537
170614cage3 2A,3,20,1,0.8343374022584333,0.15539859299952244,0.010264004742044298
170614cage3 2A,3,21,1,0.7055437901335644,0.24170324509051294,0.052752964775922624
170614cage3 2A,3,22,1,0.7098886419828432,0.24204511753619484,0.04806624048096194
170614cage3 2A,3,23,1,0.7097210323095434,0.24222138804056162,0.048057579649894884
170614cage3 2A,3,24,1,0.7053516575706767,0.24191020362731708,0.05273813880200619
170614cage3 2A,3,25,1,0.8090411915981249,0.18200028006258637,0.008958528339288688
170614cage3 2A,3,26,0,0.031287036976771467,0.20324849303828682,0.7654644699849418
170614cage3 2A,3,27,1,0.8324696502461647,0.15674223711745922,0.010788112636376081
170614cage3 2A,3,28,1,0.753674776407064,0.2260067361887862,0.0203184874041498
170614cage3 2A,3,29,0,0.10970382519982363,0.46393097962382024,0.42636519517635624
170614cage3 2A,3,30,0,0.10898312338142879,0.38643846717571495,0.5045784094428563
170614cage3 2A,3,31,1,0.8110958676514345,0.1761146926594814,0.01278943968908412
170614cage3 2A,4,1,1,0.9651340887523552,0.03041987710369553,0.004446034143949282
170614cage3 2A,4,2,1,0.7049437760661579,0.23587477241832294,0.05918145151551913
