animal_id,day,n_trials,mean_state_win,mean_state_random,mean_state_go,dom_frac_win,dom_frac_random,dom_frac_go
170614cage3 2A,2,30,0.5415111259788224,0.20373043027170015,0.25475844374947726,0.6666666666666666,0.03333333333333333,0.3
170614cage3 2A,3,31,0.5381144179292647,0.21064497457808862,0.2512406074926466,0.6451612903225806,0.06451612903225806,0.2903225806451613
170614cage3 2A,4,31,0.5209298194131897,0.2261494687857315,0.2529207118010788,0.6129032258064516,0.0967741935483871,0.2903225806451613
170614cage4 1C,0,20,0.36239406476732444,0.23876887648240747,0.39883705875026804,0.45,0.15,0.4
170614cage4 1C,1,30,0.3968788816201209,0.26961119416511364,0.33350992421476533,0.4,0.2,0.4
170614cage4 1C,2,32,0.46238188475148945,0.20110317815390052,0.33651493709460983,0.5,0.0625,0.4375
170614cage4 1C,3,30,0.3752938052686259,0.3475514254850546,0.2771547692463195,0.4,0.3,0.3
170614cage4 1C,4,30,0.3993333435968184,0.2512610353964461,0.3494056210067356,0.4,0.13333333333333333,0.4666666666666667
170614cage5,0,20,0.2827343280515582,0.21861087975423055,0.49865479219421127,0.35,0.0,0.65
170614cage5,1,30,0.4765383869570234,0.21386703590919517,0.30959457713378147,0.5333333333333333,0.06666666666666667,0.4
170614cage5,2,30,0.5326563676094765,0.2191652784854526,0.24817835390507098,0.6333333333333333,0.03333333333333333,0.3333333333333333
170614cage5,3,30,0.5875320912852686,0.2054918800510506,0.20697602866368073,0.7333333333333333,0.03333333333333333,0.23333333333333334
170614cage5,4,30,0.5014800142638892,0.17769391399649018,0.32082607173962074,0.5666666666666667,0.03333333333333333,0.4
170614cage6,0,20,0.2980692424156627,0.24043022953674242,0.4615005280475949,0.35,0.05,0.6
170614cage6,1,30,0.5359370070487741,0.20884263465337535,0.2552203582978506,0.6333333333333333,0.03333333333333333,0.3333333333333333
170614cage6,2,30,0.5723332210792237,0.1991269872866984,0.22853979163407798,0.7,0.03333333333333333,0.26666666666666666
170614cage6,3,30,0.5876784324456018,0.20508404195446092,0.2072375255999371,0.7333333333333333,0.03333333333333333,0.23333333333333334
170614cage6,4,30,0.579586061475169,0.17686705290920496,0.24354688561562612,0.7,0.0,0.3
170614cage7,0,20,0.3141683119712363,0.2393431765073606,0.4464885115214031,0.45,0.0,0.55
170614cage7,1,30,0.48030397420868265,0.19895607901945905,0.3207399467718582,0.5333333333333333,0.06666666666666667,0.4
170614cage7,2,30,0.5590558070991567,0.21130534484106864,0.2296388480597748,0.7,0.0,0.3
170614cage7,3,30,0.5558114114237491,0.17831676234975394,0.26587182622649685,0.6666666666666666,0.0,0.3333333333333333
170614cage7,4,30,0.5701969652180586,0.20586036457287876,0.22394267020906253,0.7,0.0,0.3
